provider_state,year,average_total_payments,average_medicare_payments,cover_rate
AK,2011,14572.39579551082,12958.973676878784,0.889
DC,2011,12998.033466406923,11811.972136668832,0.909
HI,2011,12775.743473278288,10967.479068852934,0.858
CA,2011,12629.67237881517,11494.38576316435,0.91
MD,2011,12608.95194647748,11480.126154711124,0.91
NY,2011,11795.496199680905,10620.740627370986,0.9
VT,2011,11766.308310170378,10546.974394866662,0.896
WY,2011,11398.489620372462,9539.3962601012117,0.837
CT,2011,11365.454780081052,10104.597205715063,0.889
NJ,2011,10678.992825503727,9586.94431302363,0.898
WA,2011,10543.155676177088,9076.5134734370313,0.861
RI,2011,10509.57105266836,9317.94344998981,0.887
OR,2011,10436.196874827559,9035.2640051177877,0.866
DE,2011,10360.076458172594,8959.6779402487336,0.865
NV,2011,10291.722100557408,8747.6070258460932,0.85
MA,2011,10279.985657284735,9241.7237035999333,0.899
AZ,2011,10154.532271532807,8825.7214445296613,0.869
SD,2011,10141.692348084351,8641.166156399182,0.852
MN,2011,9948.2410510470727,8619.2193085492945,0.866
ND,2011,9827.6424297417179,8752.0523607298564,0.891
ID,2011,9827.1842196769467,8461.9816298656951,0.861
IL,2011,9790.6802310742332,8385.2869837934431,0.856
MI,2011,9754.4246083279068,8662.1619360077711,0.888
UT,2011,9749.91099662842,7829.6327662431731,0.803
NM,2011,9619.8446487197343,8300.115466694655,0.863
CO,2011,9502.6894911740947,8150.9355954105549,0.858
NE,2011,9331.6864950922682,7992.6313418813488,0.857
NH,2011,9289.66591953585,8124.5110326755812,0.875
WI,2011,9270.709705329913,8002.6020083680341,0.863
MT,2011,9252.8065876739111,7981.0921587411085,0.863
TX,2011,9243.9835254085719,7970.4349669599824,0.862
SC,2011,9132.424906810329,7876.3357449350142,0.862
PA,2011,9100.04732502412,7919.1890883690257,0.87
NC,2011,9089.4399234108441,7998.6539556512707,0.88
GA,2011,8925.7979237488034,7667.5857595491125,0.859
VA,2011,8887.7563359535961,7538.8512987585582,0.848
FL,2011,8826.9944395297025,7667.4829036907786,0.869
OH,2011,8808.1317714134912,7661.0379993596471,0.87
IN,2011,8756.08664660143,7478.3005297002373,0.854
MO,2011,8724.6354110418488,7589.2500831167872,0.87
ME,2011,8679.9989990698268,7590.50493819482,0.874
LA,2011,8638.6665804519744,7387.708847653792,0.855
KS,2011,8455.4801959017313,7224.6472690836345,0.854
OK,2011,8353.6449034420839,7207.7101125900781,0.863
IA,2011,8312.5758663045053,7148.12413141465,0.86
KY,2011,8278.59301825332,7185.2319761917161,0.868
MS,2011,8229.168756316174,7124.1800112493829,0.866
TN,2011,8153.9549032768746,6946.4935052238479,0.852
AR,2011,8019.2528151354518,6919.72505437977,0.863
WV,2011,7968.4843016960358,6900.8567907558181,0.866
AL,2011,7568.236165895727,6418.01132871747,0.848
AK,2012,14138.116325860861,12590.710847152177,0.891
DC,2012,13665.409786156988,12262.175643058074,0.897
MD,2012,13272.747366524676,12112.011765006853,0.913
HI,2012,13265.734228138504,11214.430131267605,0.845
CA,2012,13193.703853648707,12009.270267087413,0.91
NY,2012,12015.475317865328,10798.909080216894,0.899
VT,2012,11648.155979153287,10369.609753656929,0.89
CT,2012,11545.691984501007,10229.417774397247,0.886
MA,2012,11508.190745654047,10441.375601073651,0.907
WY,2012,11367.268991492057,9599.0482420436474,0.844
NJ,2012,10879.392098163828,9756.64549971418,0.897
WA,2012,10781.789506702504,9257.0124609449667,0.859
NV,2012,10615.759627567308,9013.6666214267516,0.849
AZ,2012,10606.789675304952,9183.690397295908,0.866
OR,2012,10562.601150855849,9107.6764509821787,0.862
RI,2012,10557.382130723574,9310.3401907569623,0.882
DE,2012,10539.438442296541,9218.246514841383,0.875
ID,2012,10398.613817036052,8867.4880963434462,0.853
SD,2012,10333.488188875515,8674.6444499873469,0.839
NM,2012,10066.9253316369,8651.3530427320784,0.859
ND,2012,10019.799382856791,8881.9096500194173,0.886
UT,2012,9992.07479231904,8125.6984373619334,0.813
MN,2012,9985.4991986450932,8647.49283515603,0.866
MI,2012,9975.1137602007329,8850.2279005879718,0.887
IL,2012,9905.8773998367615,8455.0773117301233,0.854
CO,2012,9896.9905859239534,8515.7361127517725,0.86
NH,2012,9597.5693372812439,8381.9120023125,0.873
NE,2012,9534.78667232707,8057.1848867036633,0.845
PA,2012,9502.8058186543,8268.5570942418963,0.87
TX,2012,9462.19140656468,8099.2216316229578,0.856
WI,2012,9434.0948349924074,7990.55006771334,0.847
MT,2012,9355.9645660774058,8093.3942874476979,0.865
GA,2012,9303.6964231732345,7943.2977571353213,0.854
SC,2012,9278.19533613103,7972.8396462929149,0.859
NC,2012,9162.7184226654863,8026.5149624290589,0.876
VA,2012,9089.1975001328065,7771.60998600095,0.855
