provider_state,average_total_payments,average_medicare_payments,cover_rate
AK,18215.89775710906,16106.918220918913,0.8842857142857143
DC,17226.688897975546,13924.988043457512,0.8171428571428572
HI,16124.17479146271,13232.578843885794,0.8232857142857142
CA,15770.225333185701,14054.084942354875,0.8924285714285713
MD,15228.478696019556,13882.804121461488,0.9114285714285715
NY,14899.80684721547,12866.889333244762,0.8665714285714285
VT,13433.77522928843,11706.182440761368,0.8721428571428571
WY,12476.369998167089,10621.124868188695,0.8504285714285714
CT,13709.27848379223,11762.581512642435,0.860142857142857
NJ,12842.091812994375,11129.820063686218,0.8685714285714285
WA,13471.62393990448,11394.708357717142,0.8471428571428571
RI,12226.654711945688,10586.99214146649,0.8667142857142858
OR,13533.818816696088,11677.143846268653,0.8621428571428572
DE,12921.799902223365,10837.45978491852,0.8421428571428572
NV,12681.293314343573,10835.720034288088,0.8538571428571429
MA,13472.386110518688,11955.767990671957,0.8885714285714286
AZ,12628.80941688833,10904.995155203387,0.8632857142857142
SD,11885.548959511927,10244.740314035746,0.8608571428571428
MN,13285.083854735434,11298.470823599886,0.8515714285714285
ND,12038.278728328169,10505.473540837953,0.8738571428571429
ID,11813.732734071957,10106.987115732409,0.8555714285714285
IL,11687.359385278522,9736.53287550424,0.8347142857142856
MI,11983.854463639464,10362.582380223914,0.8661428571428571
UT,12971.710287749891,10395.74718534495,0.8012857142857144
NM,11711.828269810534,10059.178876042935,0.8588571428571429
CO,12301.239612555377,10425.011035136416,0.8482857142857143
NE,11597.693486767954,9786.323686843069,0.8437142857142857
NH,11568.107973774373,10025.8382075043,0.8668571428571429
WI,11532.694186069122,9595.434764831596,0.8342857142857142
MT,11101.31322681073,9700.174768349458,0.8725714285714286
TX,11303.458116379936,9446.550097497573,0.8372857142857143
SC,11030.127944849828,9233.51162128347,0.8385714285714286
PA,11663.483714092752,9519.329699569995,0.8204285714285714
NC,11434.0583005825,9573.950353791071,0.8404285714285714
GA,10941.549736333882,9383.260477370346,0.8574285714285714
VA,11205.855609379772,9146.524074525621,0.8191428571428571
FL,10493.430109138035,8987.09044293161,0.8570000000000001
OH,10930.75957709968,9044.774861807926,0.8301428571428571
IN,10682.336741546036,9102.840738031147,0.8517142857142856
MO,10799.196765226272,9412.15720431578,0.8712857142857142
ME,10775.274992812361,9157.331357331117,0.8521428571428571
LA,10295.204497899047,8653.427289783218,0.8421428571428571
KS,10498.897828465013,9025.359979966031,0.859
OK,10498.197713225245,8938.05148445593,0.8517142857142856
IA,10404.477200172578,8914.97774985167,0.8567142857142857
KY,10397.0216250139,8822.984358983444,0.85
MS,9574.515670296862,8269.654999078524,0.8640000000000001
TN,10198.216932237116,8691.5457418837,0.8518571428571429
AR,9588.599764739616,8246.934734411396,0.8602857142857143
WV,10171.55379986562,8466.34409096816,0.8352857142857142
AL,9184.425349586007,7754.205627816793,0.8447142857142858
